Game,Platform,Genre,Rating,Played,IGDB,Completed,Quick Review,Notes,GOTY
Stonehearth,PC,Strategy,9,1/1/2017,5447,TRUE,Played 19 hours of it at once on 24 hour stream.,,
The Legend of Zelda: The Wind Waker HD,PC,RPG,10,12/29/2016,2276,TRUE,Yes.,,
VA-11 Hall-A,PC,Other,5,12/29/2016,15465,FALSE,Wut,,
Vanishing Realms,PC,RPG,8,12/17/2016,18694,TRUE,Gives me hope that a really good Zelda-ish rpg could make it to the vive. My only wish is that the sword mechanics were tightened up a bit.,,
Surgeon Simulator VR,PC,VR,5,12/17/2016,26299,FALSE,Surgeon sim!,Halfway through ambulance levels.,
Space Hulk: Deathwing,PC,Shooter,5,12/17/2016,6879,TRUE,"Disappointing story, buggy, but fun gameplay.",,
Arizona Sunshine,PC,Shooter,9,12/12/2016,18303,TRUE,"High score, but it might be due to being the first full VR experience I've had. Many memorable moments of leaning around corners and such to shoot zombies.",,
HITMAN,PC,Stealth,7,12/9/2016,11157,TRUE,"Fun and challenging, but very short if you just play straight through once. Note, I bought the complete edition after all of Season 1 was released.",,
Space Pirate Trainer,VR,VR,8,12/5/2016,34041,NA,"Enjoying this so far. Impressive looking, runs well, fun game.",,
Accounting,VR,VR,8,12/5/2016,25251,TRUE,I don't know what I saw but I liked it. Want a longer version of this!,,
World of Final Fantasy,PC,RPG,7,12/5/2016,11214,FALSE,Was a solid nine until the 3/4ths mark when you fight the first set of bosses and learn the game was an illusion. Then it happens again... and again... SCREW OFF. Lazy storytelling to needlessly extend gameplay time.,95% finished,
Zombie Training Simulator,VR,VR,7,12/5/2016,33451,NA,A fun wave shooter that makes cardboard zombies scary.,,
Rec Room,VR,VR,7,12/5/2016,32617,NA,Very fun. Super impressed that this is free.,,
Audioshield,VR,VR,6,12/5/2016,18981,NA,"Great rhythm game that is perfect for VR. However, sometimes throws impossible to hit dots at you.",,
Holoball,VR,VR,5,12/5/2016,18983,NA,Just a basic sports game. Paddles don't always seem to hit when they should.,,
Destinations,VR,VR,5,12/5/2016,33258,NA,Could see a lot of neat uses for this one. Maybe even a better demo than theBlue.,,
Waltz of the Wizard,VR,VR,5,12/5/2016,33680,TRUE,Fun little demo to show off VR. Lots of cool hidden things to find.,,
Lightblade VR,VR,VR,4,12/5/2016,32546,NA,"Fun, but unoptimized. Makes me hope for a full star wars game. Ran poorly for me.",,
theBlu,VR,VR,4,12/5/2016,19067,TRUE,"Perfect for showing new non-gamers VR. But, pricy for what you get.",,
The Lab,VR,VR,7,11/28/2016,33308,FALSE,My first VR experience. Really shows what would be possible should someone invest into a full VR game.,,
Planet Coaster,PC,Builder,8,11/26/2016,18829,NA,"Great soundtrack and gameplay, but suffers from some FPS loss in busy parks and frustrating building tools at times.",,
"Small Radios, Big Televisions",PC,Puzzle,5,11/26/2016,24458,TRUE,Neat puzzle game with an interesting storyline.,,
Spec Ops: The Line,PC,Shooter,5,11/18/2016,1377,TRUE,"Had good reviews, but ultimate its the most barebones straight up shooter I think I've ever played. Praised for it's story, but I didn't find it that compelling.",,
Ocarina of Time,Wii U,RPG,8,11/15/2016,1029,TRUE,"Fun, but has frustrating enemies and mechanics that do not respect the players time. It does however make me excited to play future zelda games.",,
Outlast,PC,Horror,7,11/6/2016,1910,TRUE,Pretty scary! RIP Dr. Buttcheeks,,
Notes of Obsession,PC,Horror,6,10/31/2016,56895,TRUE,Good little creepy indie game. The way the monster is handled is a little silly and could have been better.,,
The Black Watchmen,PC,Puzzle,10,10/28/2016,27707,TRUE,"Fun, but incredibly difficult puzzles. Easily harder than the first season.",,
Darksiders,PC,Action,8,10/27/2016,1270,TRUE,"Good story, good fighting mechanics, but some piss poor level design and flow issues. Why make me backtrack through the entire game for sword pieces?!",,
Superhot,PC,Shooter,5,10/18/2016,7205,TRUE,"Neat mechanic, but very short game. Story could be cool if expanded.",,
Tormentum,PC,Adventure,8,10/14/2016,9035,TRUE,Fantastic art and interesting story. Very well balanced puzzles.,,
Fran Bow,PC,Adventure,8,10/12/2016,11821,TRUE,"Great concepts, unique story, a frustrating middle.",,
Dead Space 2,PC,Horror,6,10/5/2016,38,TRUE,Fun game until mission 13 where it goes all bonkers and silly.,,
Tales from the Borderlands,PC,Adventure,10,9/27/2016,6707,TRUE,Perfect. Easily the best Telltale game.,,Bronze
Dog Sled Saga,PC,RPG,5,9/23/2016,17163,FALSE,A fun little indie game weighing in at 78mb. Really fun and worth the purchase for $5 or so.,,
Clustertruck,PC,Platformer,6,9/22/2016,18484,FALSE,Super fun and insane platformer. Twitch integration makes it even better.,Stuck in hell,
The Bunker,PC,Adventure,5,9/20/2016,24017,TRUE,"Pretty great story, but gameplay is absolutely minimal. This is a playable movie that is completely linear.",,
Halcyon 6,PC,Strategy,8,9/19/2016,18858,FALSE,Very very good mix of FTL and XCOM.,,
Diaries of a Spaceport Janitor,PC,Adventure,3,9/16/2016,23881,FALSE,Not really sure what I saw... but it has a unique style to it. Just don't think it is stream friendly.,,
Human Fall Flat,PC,Puzzle,6,9/15/2016,16992,TRUE,A fun physics based puzzler. Made me laugh quite a bit due to the weird crap you see while trying to just walk around.,,
Sonic Generations,PC,Platformer,7,9/13/2016,506,TRUE,"Some fun 3d parts and 2d is solid, but the boss fights are clumsy. Last boss fight is horrible.",,
Epistory,PC,Other,6,9/10/2016,11657,TRUE,Unique RPG where you type to kill things. Neat story and amazing art.,,
Monochroma,PC,Platformer,5,9/9/2016,16873,TRUE,Very middle of the road platformer with a neat art style.,,
Oxenfree,PC,Adventure,10,9/7/2016,14587,TRUE,Absolute incredible.,,
Mother Russia Bleeds,PC,Action,4,9/5/2016,6655,FALSE,"Good art, but boring gameplay. This game is really meant for local co-op, the bots are dumb as crap. Also ran into a serious bug that caused us to lose about 20 minutes of progress.",,
The House Abandon,PC,Horror,6,9/4/2016,57860,TRUE,Really impressed with this text based horror game. Very well done short story.,,
Secret of Tremendous Corporation,PC,Adventure,5,9/4/2016,34994,TRUE,Neat little story about indie games made in a 48 hour game jam.,,
Planet of the Eyes,PC,Platformer,5,9/4/2016,16313,TRUE,Decent limbo-esque platformer about a robot.,,
Ark,PC,Survival,7,8/29/2016,10239,FALSE,Surprisingly fun. Did not see myself liking this game until I got onto a Bronto. <3,"Several dinos tamed, base built.",
Okhlos,PC,Roguelike,6,8/18/2016,34521,FALSE,A neat little roguelike unlike any I have seen before. Gets a bit repetitive.,About 10 bosses down.,
No Man's Sky,PC,Adventure,5,8/16/2016,3225,NA,"Fantastic exploration game. Buggy PC port keeps it from a 10. UPDATE: Original score was a 9, but as time goes on it gets lower. Repeated use of the same assets, which there are not enough of, makes a proceedurally generated world feel repetitive.",,
Headlander,PC,Puzzle,7,8/10/2016,15857,TRUE,"Great game, one of their best. However, dying in a boss fight is a huge pain. The ending is bad.",,
OPUS: The Day We Found Earth,PC,Adventure,7,8/8/2016,18900,TRUE,Good story! A fun little mindless story driven game.,,
Deus Ex: Mankind Divided,PC,RPG,6,8/3/2016,9498,TRUE,Very okay. For some reason it didn't capture me like past Deus Ex games. Halfway through I just started running through instead of sneaking.,,
"Please, Don't Touch Anything",PC,Puzzle,4,8/1/2016,9327,TRUE,"Push buttons, things happen.",,
Hatoful Boyfriend,PC,Dating,6,7/31/2016,8874,TRUE,It's funny. Pudding.,,
Quadrilateral Cowboy,PC,Puzzle,9,7/29/2016,9014,TRUE,Very unique experience with a great storytelling style. Absolutely loved the puzzles.,,
Wolfenstein: The Old Blood,PC,Shooter,6,7/20/2016,9192,TRUE,"Nothing special. Meh, story. Meh, shooting. Only one really cool scene near the end of the game. I must be missing something. People were raving about this series.",,
Layers of Fear,PC,Horror,8,7/18/2016,204363,TRUE,One of the better horror games I've played. Very unique and cool story.,,
Super Win The Game,PC,Platformer,3,7/14/2016,14687,FALSE,"Platformer focused on nostalgia, but unfortunately gives almost zero clue as to what to do.",,
Witcher 3,PC,RPG,10,7/13/2016,1942,TRUE,"Fantastic game. A few missions were very annoying, but that is bound to happen in such a huge game.",,Gold
Tower Unite,PC,Party,8,7/9/2016,27927,NA,Surprisingly fun. This game will get infinitely better with patches. Hopefully the playerbase remains around for it.,,
Pony Island,PC,Puzzle,9,7/8/2016,15734,TRUE,"Neat logic puzzles, and cool 4th wall stuff. But very short game. SCREW THAT FREAKING HUMMING NOISE Several points taken away because of that. I had to play through the game muted..",,
Dead By Daylight,PC,Horror,4,7/1/2016,18866,NA,"Frustrating and repetitive gameplay. Plus, it's not actually scary.",,
In Verbis Virtus,PC,Puzzle,5,6/25/2016,16560,FALSE,"Cool idea, beautiful art. God awful puzzles. Completely needless complications such as poison areas that force you to say the same spell 500 times.",50% finished.,
Roundabout,PC,Driving,9,6/23/2016,15852,TRUE,Simply awesome and stupid FMV game. I love it. Small bits of downtime in the middle keep it from being a 10.,,
"Dr. Langeskov, The Tiger, and the Terribly Cursed Emerald",PC,Mystery,7,6/23/2016,14872,TRUE,Fun quick 30 minute free game by the Stanley Parable guys.,,
A Story About My Uncle,PC,Platformer,7,6/22/2016,7211,TRUE,"Pretty good story, and difficult but not overly dumb platforming",,
Hard Reset Redux,PC,Shooter,4,6/21/2016,17994,FALSE,Meh. Hours and hours of the same enemies. No clever gameplay mechanics. Guns don't feel impactful.,80% complete.,
Mad Max,PC,Action,7,6/17/2016,2552,FALSE,"Better than I expected, but it gets grindy in spots. I could not take the grinding, and quit early.",about 65% complete.,
Brigador,PC,Action,4,6/14/2016,13361,FALSE,"Great music and visual style, but the gameplay itself is meh.",,
Mirror's Edge Catalyst,PC,Platformer,5,6/13/2016,2112,TRUE,Better combat and parkour mechanics. Terrible story that tosses away everything from first game. Horrible side quests.,,
Her Story,PC,Adventure,6,6/9/2016,11346,TRUE,"Good story, but very little in the way of gameplay.",,
Mirror's Edge,PC,Platformer,7,6/3/2016,1051,TRUE,"Old game. Very short, but unique gameplay. Still looks great.",,
Contradiction Spot the Liar,PC,Mystery,9,6/1/2016,11333,TRUE,"Super fun FMV game, though the story often takes weird unrelated turns. The overall gameplay is very fun and I found myself pretty hooked.",,
Overwatch,PC,Shooter,10,5/29/2016,8173,NA,Fantastic.,,
Lovely Planet,PC,Shooter,4,5/21/2016,14326,FALSE,Wut,,
Doom,PC,Shooter,9,5/20/2016,76217,TRUE,"Fantastic single player. Meh, multiplayer.",,
Among the Sleep,PC,Horror,8,5/17/2016,7642,TRUE,Great indie horror game with a very unique take on the experience.,,
Lords of the Fallen,PC,RPG,3,5/16/2016,194987,FALSE,Bah. Heavy dark souls. Good looking and terrible gameplay.,,
Jalopy,PC,Driving,7,5/14/2016,20908,FALSE,"A funny game, but still needs a lot of polish. I will definitely revisit this one in a few months. EDIT: Revisited, but still contains many of the same bugs months later.",Early access,
Battlefleet Gothic,PC,RTS,5,5/14/2016,8713,FALSE,An ok RTS game that translates some board game concepts over fairly well.,,
Soma,PC,Horror,8,5/13/2016,9727,TRUE,Amazing. Absolutely stunning story. Some poor monster encounters drag it down.,,
Not A Hero,PC,Action,4,4/30/2016,6045,FALSE,"Not bad. But, technical difficulties lower the score. No video options? Base resolution that is non-standard?","level 17, close to end.",
Ronin,PC,Puzzle,5,4/29/2016,11183,FALSE,"Neat game similar to Gunpoint, but with less puzzles and more killing.",5 hours,
Gods Will Be Watching,PC,Adventure,3,4/27/2016,7543,TRUE,"So much potential to be an awesome point and click, but the save system is god awful. The worst I have seen in any game. You can play a part for 30+ minutes only to fail and lose all of that progress because there are no checkpoints. Combine that with randomized insta death situations and... RAGE",Rage quit on DLC.,
"Cook, Serve, Delicious",PC,Simulator,5,4/25/2016,11238,,A fun little game to co-op with people who don't play games often.,,
Never Alone,PC,Platformer,6,4/23/2016,7618,TRUE,"Loved the story and the visuals, but didn't like the gameplay itself all that much.",,
Dark Souls 3,PC,RPG,10,4/21/2016,11133,TRUE,"An absolutely amazing game. The scenery is beautiful, the gameplay is perfect, the pvp is so much fun.",Pyromancer all bosses down,
Renowned Explorers: International Society,PC,Roguelike,4,4/9/2016,12510,FALSE,"A unique rougelike for those who love storytelling. Sort of like ""Around the world in 80 days"" with some hex based combat. Even with all of that, it doesn't really stand out all that much.",7 runs,
Enter the Gungeon,PC,Roguelike,7,4/7/2016,11182,FALSE,Mix of nuclear throne and binding of issac. Really great roguelike that I could see myself spending many hours in.,2nd boss,
The Magic Circle,PC,Walking Sim,8,4/4/2016,17847,TRUE,"I really enjoyed the basic trait mix and matching mechanic in the game. However, the story really stood out for me. This is an extremely unique game that I wish we could see more of in gaming.",,
Hyper Light Drifter,PC,Action,8,4/2/2016,9806,TRUE,"Fantastic art and combat, but with some annoying exploration mechanics. Loved the combat difficulty. The map is worthless.",,
Adr1ft,PC,Mystery,7,3/31/2016,8654,TRUE,"This is a great first person experience. Not much game, but the overall feeling, movement, and story make this an interesting trip. You can really tell it was meant for VR though.",,
Kingdom,PC,Strategy,5,3/28/2016,13686,FALSE,"Neat little indie strategy/resource management game. Not much depth, but great for $5.",day 26,
Slain!,PC,Action,4,3/26/2016,18509,FALSE,"Looks great, but buggy as hell and boring gameplay. Controls terrible. Menu doesn't even work. No quit button. SFX for certain enemies ignore sound settings. This is a game I'll have to come back to after a few months of patches.",Got to castle gates.,
Splatoon,Wii U,Shooter,9,3/23/2016,7335,TRUE,Fantastic game.,,
Super Time Force Ultra,PC,Action,7,3/20/2016,8879,TRUE,"Fun, neat rewind mechanics.",,
Dark Souls 2,PC,RPG,9,3/17/2016,2368,TRUE,"Older game now, but still excellent. Preparing for DS3.",184 deaths,
Titan Souls,PC,Roguelike,7,3/10/2016,9559,FALSE,Great little indie game that is a sort of mix of puzzler and shooter. Very unique mechanics and boss fights.,several bosses down,
Stardew Valley,PC,RPG,10,3/7/2016,17000,TRUE,An amazing shoutout to Harvest Moon and other games in the genre. Absolutely love it. A great game to fill that the need for Animal Crossing since they will apparently not release one on the wii u. I hate the bundle system.,,Silver
FTL,PC,Roguelike,7,3/4/2016,3075,FALSE,"Older game, but still fantastic.",,
Devil Daggers,PC,Shooter,8,2/26/2016,18081,NA,A small but very addicting little arena shooter that points back to classic doom in so many ways. I'll continually revisit this one.,139 second run.,
The Solus Project,PC,Survival,6,2/23/2016,11221,FALSE,Due to be released in May. This is a very promising game with fantastic weather effects and survival mechanics.,Early access finished,
Dropsy,PC,Adventure,8,2/21/2016,11488,TRUE,"Really fun and interesting game. Neat story. Hugs were given. Have to admit, I needed a walkthrough for several parts.",,
Alien Isolation,PC,Horror,5,2/19/2016,4754,FALSE,"Fun to play horror games with chat, but holy crap losing so much progress on death is bad bad bad. This save system doesn't make me feel more dread. It makes me feel HATE.",6 hours,
Transistor,PC,RPG,9,2/17/2016,3022,TRUE,"Another older game, but one of my top ten favorites. Unique battles system and an extremely interesting story.",,
"Warhammer 40,000: Space Marine",PC,Shooter,9,2/11/2016,578,TRUE,"Old game, but I love it. I really hope they make a second one. Right up there with the Dawn of War games.",,
Firewatch,PC,Mystery,9,2/10/2016,9730,TRUE,"Right after playing I rated this a seven. Gameplay is alright, nothing special. But a week after I'm still thinking about the story, the art, the music, etc... I seriously can't get this game out of my head. I think this is one that grows on you if you appreciate a good story. So, I've adjusted my score. Not many games can do this to me.",,
XCOM 2,PC,Strategy,8,2/9/2016,10919,TRUE,"I love Xcom. I'm terrible at it, but I love it so much.",,
Hacknet,PC,Simulator,7,2/2/2016,11707,TRUE,"A game that looks intimidating, but gets really fun as you learn the commands. Story is actually pretty good.",,
The Witness,PC,Puzzle,6,1/28/2016,5601,FALSE,"A great puzzle game that is extremely difficult for me. The tetris puzzles just don't click, but there are a ton of them. I wish there was more variety in the puzzles, as most everything is based off the same concept. I just feel like maybe I don't have the patience for this type of game, plus it is relatively hard to stream and keep interesting.",I can't take anymore tetris puzzles. Stopped after 9 hours.,
"Invisible, Inc",PC,Strategy,7,1/26/2016,6044,FALSE,"A great indie xcom for the price. I wish the campaign was longer and more involved though. The style is so cool, but there could have been much more done with the game.","Easy campaign finished, two runs on medium.",
Galacide,PC,Action,4,1/24/2016,35581,TRUE,Not my kind of game at all. A weird puzzler/shmup mix.,,
Apotheon,PC,Action,6,1/22/2016,9016,TRUE,"Very unique game with great art and a neat fighting system. Fairly short, probably around 5-6 hours or so.",,
Tesla Effect :Tex Murphy,PC,Adventure,7,1/20/2016,5542,TRUE,"Fantastic first half, terrible last half. It's like they suddenly realized they left out boring adventure game parts and added them all in at once while removing all of the humor. First half = one of my favorite games in years... second half = wtf",,
Sublevel Zero,PC,Shooter,6,1/18/2016,26922,FALSE,"A fantastic looking game, but it is nothing more than a time waster when you have nothing major to play. Not much too it really.",Could only get to level 3,
XCOM: Enemy Unknown,PC,Strategy,8,1/15/2016,1318,FALSE,Still a great game that holds up well. Great mix of strategy and rpg-ish elements,,
Rebel Galaxy,PC,RPG,6,1/12/2016,11719,FALSE,"Great combat, great soundtrack, great gameplay. But why oh why did you make me grind for credits for so long between story missions. I haaaate grinding.",Dropped in second system,
Heavy Bullets,PC,Shooter,3,1/12/2016,10402,FALSE,Not much to it and not really fast paced enough to keep my attention.,,
GALAK-Z: The Dimensional,PC,Roguelike shmup,7,1/7/2016,11203,FALSE,"This game really grew on me. The action is fast paced and fun, but very skill based. I could not beat the final boss of season 3 after 30+ attempts. Still, even with that frustration I love the style of this game. The pause screen is A++++. Very cool game for hardcore players.",Stuck at boss in season 3.,
Lego Star Wars,PC,Action,5,1/5/2016,2681,FALSE,Another lego game!,Dropped at end of movie 4.,
Lovers in a Dangerous Spacetime,PC,Action,7,1/2/2016,12520,TRUE,"A great game, but the last boss is impossible without a human co-op partner. I played solo and had to turn it to casual for that final boss. I bet this would be a 9 with a good co-op buddy.",Solo run.,
Shadow Complex,PC,Side Scroller Shooter,6,1/1/2016,11328,TRUE,A neat 2d/3d sidescrolling mechanic. Story is horrible. It is disheartening to see a waypoint on the other side of the map. Trying to navigate can be difficult and enemies respawn.,,
Undertale,PC,RPG,10,12/31/2015,12517,TRUE,A fantastic game with a few hiccups. There can be a crazy amount of time wasted walking and there are parts in the game where you can potentially get stuck due to skill difficulty. The best writing I've seen in a game in a long time. I'm in love.,Pacifist run,Gold
Lethal League,PC,Fighting,7,12/30/2015,8262,NA,A unique fighter that is great to sit down and play for short bursts. Co-op is fantastic and involves a lot of screaming as the ball goes into light speed. One of my favorite fighters.,,Bronze
Binary Domain,PC,Shooter,8,12/29/2015,6913,TRUE,The robots just crumble and it feels glorious. The story is pretty great. The voice recognition is god awful. Bosses get reused more than I'd like. I have a feeling the game could have been a 9 easily without the issues there.,,Silver
Fallout 4,PC,RPG,6,12/25/2015,9630,TRUE,"Another fallout. While base building and weapon mods are neat, the game is too similar to past fallout games. Considering the amount of time between games, we need more innovation. Junk Jet is horrible. Do not try a junk jet only run.",Sided with institute,
Battlefront,PC,Shooter,4,12/20/2015,2113,NA,"Looks fantastic, but is disappointing in many ways. Being a hero is rare in the main game modes, matchmaking is messed up, bugs bugs bugs. I often lost textures on my character's hair and my sound would cut out randomly. Both of these were issues I found large forum posts about but have not been fixed a month after release.",,
Downwell,PC,Platformer,6,12/19/2015,13677,FALSE,"This is a neat little indie game where you fall down a well and try not to die. You get gunboots and those are cool. However, there isn't all that much to the game and didn't keep my attention for too long. I'll revisit it every now and then just to waste some time.",,